A1A4Y4	IRGM_HUMAN	reviewed	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	Homo sapiens (Human)	181
P06446	MATRX_SENDZ	reviewed	Matrix protein (M protein)	M	Sendai virus (strain Z) (SeV) (Sendai virus (strain HVJ))	348
P0DOE7	MATRX_HRSVA	reviewed	Matrix protein (M protein)	M	Human respiratory syncytial virus A (strain A2)	256
P03519	MATRX_VSIVA	reviewed	Matrix protein (M protein)	M	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)	229
Q60766	IRGM1_MOUSE	reviewed	Immunity-related GTPase family M protein 1 (EC 3.6.5.-) (Interferon-inducible GTPase 3) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47) (LRG-47)	Irgm1 Ifi1 Iigp3 Irgm	Mus musculus (Mouse)	409
Q8IYD8	FANCM_HUMAN	reviewed	Fanconi anemia group M protein (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM) (Fanconi anemia-associated polypeptide of 250 kDa) (FAAP250) (Protein Hef ortholog)	FANCM KIAA1596	Homo sapiens (Human)	2048
Q6AYC2	IRGM_RAT	reviewed	Immunity-related GTPase family M protein (EC 3.6.5.-)	Irgm	Rattus norvegicus (Rat)	411
P59596	VME1_SARS	reviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M 5	Severe acute respiratory syndrome coronavirus (SARS-CoV)	221
Q8BGE5	FANCM_MOUSE	reviewed	Fanconi anemia group M protein homolog (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM)	Fancm Kiaa1596	Mus musculus (Mouse)	2021
Q9J3N8	VME1_IBVDE	reviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M	Avian infectious bronchitis virus (strain DE072) (IBV)	225
P04135	VME1_CVPPU	reviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M 5	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	262
A0A1D5PRR9	FANCM_CHICK	reviewed	Fanconi anemia group M protein (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM) (Fanconi anemia-associated polypeptide of 250 kDa) (FAAP250) (Protein Hef ortholog)	FANCM	Gallus gallus (Chicken)	2041
P03426	MATRX_SENDH	reviewed	Matrix protein (M protein)	M	Sendai virus (strain Harris) (SeV)	348
P08957	T1MK_ECOLI	reviewed	Type I restriction enzyme EcoKI methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.EcoKI) (M.EcoKI)	hsdM hsm b4349 JW4312	Escherichia coli (strain K12)	529
P54296	MYOM2_HUMAN	reviewed	Myomesin-2 (165 kDa connectin-associated protein) (165 kDa titin-associated protein) (M-protein) (Myomesin family member 2)	MYOM2	Homo sapiens (Human)	1465
P03415	VME1_CVMA5	reviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M 6	Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus)	228
P04876	MATRX_VSIVG	reviewed	Matrix protein (M protein)	M	Vesicular stomatitis Indiana virus (strain Glasgow) (VSIV)	237
P08553	NFM_MOUSE	reviewed	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	Nefm Nef3 Nfm	Mus musculus (Mouse)	848
P12839	NFM_RAT	reviewed	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	Nefm Nef3 Nfm	Rattus norvegicus (Rat)	846
Q9QUI1	LRA25_MOUSE	reviewed	Leucine repeat adapter protein 25 (C184L ORF2 protein) (C184M protein) (MMTV receptor)	Fam89b C184m Lrap25 Mtvr2	Mus musculus (Mouse)	189
P07197	NFM_HUMAN	reviewed	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	NEFM NEF3 NFM	Homo sapiens (Human)	916
Q9AT76	AGL27_ARATH	reviewed	Agamous-like MADS-box protein AGL27 (MADS box FLC1-like nuclear protein) (Protein FLOWERING LOCUS M) (Protein MADS AFFECTING FLOWERING 1)	AGL27 FK1 FLM MAF1 At1g77080 F22K20.15	Arabidopsis thaliana (Mouse-ear cress)	196
P16947	M49_STRP9	reviewed	M protein, serotype 49	emm49	Streptococcus pyogenes serotype M49	389
K9N7A1	VME1_MERS1	reviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M 5	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012) (MERS-CoV) (Betacoronavirus England 1)	219
P02977	M5_STRP5	reviewed	M protein, serotype 5	emm5 smp5	Streptococcus pyogenes serotype M5	492
Q01455	VME1_CVHOC	reviewed	Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein)	M 6	Human coronavirus OC43 (HCoV-OC43)	230
G7G8V2	G7G8V2_9GAMM	unreviewed	Type I restriction enzyme M protein (EC 2.1.1.72)	hsdM P20495_4337	Pseudoalteromonas sp. BSi20495	304
A0A1I5WT82	A0A1I5WT82_9RHOB	unreviewed	Type I restriction enzyme M protein	SAMN04488047_1564	Tranquillimonas alkanivorans	254
A0A1E5GHF7	A0A1E5GHF7_9ENTE	unreviewed	M protein trans-acting positive regulator	BCR21_07380	Enterococcus ureasiticus	502
A0A245ZI98	A0A245ZI98_9SPHN	unreviewed	General secretion pathway, M protein	SPDO_24470	Sphingomonas dokdonensis	157
A0A6B8VS68	A0A6B8VS68_9CORY	unreviewed	Putative type I restriction enzymeP M protein (EC 2.1.1.72)	CETAM_13420	Corynebacterium sp. 2019	639
A0A176S0S6	A0A176S0S6_9GAMM	unreviewed	Type I restriction enzyme StySPI M protein	THIOM_002607	Candidatus Thiomargarita nelsonii	230
A0A5E5ADJ2	A0A5E5ADJ2_9BURK	unreviewed	Putative type I restriction enzymeP M protein (EC 2.1.1.72)	PAN31117_04132	Pandoraea anapnoica	1665
A0A1H6VDA2	A0A1H6VDA2_9FIRM	unreviewed	Type I restriction enzyme M protein	SAMN02910453_1782	Lachnospiraceae bacterium A10	561
E9FPF7	E9FPF7_9STRE	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF0851_01686	Streptococcus sp. M334	494
A0A0P9ENL0	A0A0P9ENL0_9GAMM	unreviewed	Fanconi anemia group M protein	SAMN05661077_1356	Thiohalorhabdus denitrificans	219
I0ZHX1	I0ZHX1_HELPX	unreviewed	Type III restriction enzyme M protein	HP17_06947	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504	477
I0ZCR2	I0ZCR2_HELPX	unreviewed	Type IIS restriction enzyme M protein (Mod)	HP17_03814	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504	686
S4DTD3	S4DTD3_ENTFC	unreviewed	M protein trans-acting positive regulator	D357_01696	Enterococcus faecium SD3B-2	479
S4E0C6	S4E0C6_ENTFC	unreviewed	M protein trans-acting positive regulator	D357_01530	Enterococcus faecium SD3B-2	489
J8ZPZ4	J8ZPZ4_ENTFC	unreviewed	M protein trans-acting positive regulator HTH domain protein	HMPREF1345_00328	Enterococcus faecium TX1337RF	478
E9FMF3	E9FMF3_9STRE	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF0851_00976	Streptococcus sp. M334	494
J8ZK18	J8ZK18_ENTFC	unreviewed	M protein trans-acting positive regulator	HMPREF1345_00948	Enterococcus faecium TX1337RF	474
J8ZMD2	J8ZMD2_ENTFC	unreviewed	M protein trans-acting positive regulator	HMPREF1345_00851	Enterococcus faecium TX1337RF	261
J8WGC7	J8WGC7_ENTFC	unreviewed	M protein trans-acting positive regulator	HMPREF1345_01138	Enterococcus faecium TX1337RF	489
S4E0D2	S4E0D2_ENTFC	unreviewed	M protein trans-acting positive regulator	D357_01535	Enterococcus faecium SD3B-2	527
S4EGD5	S4EGD5_ENTFC	unreviewed	M protein trans-acting positive regulator	D357_00319	Enterococcus faecium SD3B-2	492
S4EDY3	S4EDY3_ENTFC	unreviewed	M protein trans-acting positive regulator	D357_00801	Enterococcus faecium SD3B-2	506
J9A5C8	J9A5C8_ENTFC	unreviewed	M protein trans-acting positive regulator	HMPREF1345_00179	Enterococcus faecium TX1337RF	492
S4DZD7	S4DZD7_ENTFC	unreviewed	M protein trans-acting positive regulator HTH domain protein (Fragment)	D357_00536	Enterococcus faecium SD3B-2	499
J0U429	J0U429_HELPX	unreviewed	M protein	emm HPHPP62_0066	Helicobacter pylori Hp P-62	233
E9FPN0	E9FPN0_9STRE	unreviewed	M protein trans-acting positive regulator (MGA)	HMPREF0851_01760	Streptococcus sp. M334	475
S4DTD9	S4DTD9_ENTFC	unreviewed	M protein trans-acting positive regulator HTH domain protein	D357_01701	Enterococcus faecium SD3B-2	499
S4E8X0	S4E8X0_ENTFC	unreviewed	M protein trans-acting positive regulator	D357_01658	Enterococcus faecium SD3B-2	486
J8ZZ56	J8ZZ56_ENTFC	unreviewed	M protein trans-acting positive regulator	HMPREF1345_00949	Enterococcus faecium TX1337RF	394
Q1CVA0	Q1CVA0_HELPH	unreviewed	M-protein	HPAG1_0055	Helicobacter pylori (strain HPAG1)	63
G5JZP2	G5JZP2_9STRE	unreviewed	M protein trans-acting positive regulator (MGA) PRD domain protein	STRIC_0756	Streptococcus ictaluri 707-05	491
A0A1G8H5L5	A0A1G8H5L5_9FLAO	unreviewed	Type I restriction enzyme M protein	SAMN04488062_12032	Flavobacterium omnivorum	830
G5JZP3	G5JZP3_9STRE	unreviewed	M protein, serotype 12 family protein	STRIC_0757	Streptococcus ictaluri 707-05	435
A0A060PSH6	A0A060PSH6_HELPX	unreviewed	Type I restriction enzyme M protein	NY40_1534	Helicobacter pylori NY40	140
F0GE31	F0GE31_9BURK	unreviewed	General secretion pathway M protein (Fragment)	B1M_32527	Burkholderia sp. TJI49	82
F2CB39	F2CB39_STRSA	unreviewed	M protein trans-acting positive regulator	HMPREF9391_0009	Streptococcus sanguinis SK408	475
B1BNZ6	B1BNZ6_CLOPF	unreviewed	M protein trans-acting positive regulator (MGA)	AC3_0959	Clostridium perfringens E str. JGS1987	485
A4J9Y0	A4J9Y0_BURVG	unreviewed	General secretion pathway M protein	Bcep1808_0060	Burkholderia vietnamiensis (strain G4 / LMG 22486) (Burkholderia cepacia (strain R1808))	168
A0A7Z7HRD9	A0A7Z7HRD9_9PROT	unreviewed	Putative General secretion pathway M protein	SDENCHOL_20008	Sterolibacterium denitrificans	167
A0A1I1SIF9	A0A1I1SIF9_9FLAO	unreviewed	M protein trans-acting positive regulator (MGA) HTH domain-containing protein	SAMN05216297_10868	Flavobacterium phragmitis	252
I9XCS7	I9XCS7_HELPX	unreviewed	Type I restriction enzyme M protein	hsdM1 HPHPP16_0433	Helicobacter pylori Hp P-16	255
G7G8V1	G7G8V1_9GAMM	unreviewed	Type I restriction enzyme M protein (EC 2.1.1.72)	hsdM P20495_4336	Pseudoalteromonas sp. BSi20495	70
A0A0C4WII6	A0A0C4WII6_9GAMM	unreviewed	M protein repeat protein	Achr_26570	Azotobacter chroococcum NCIMB 8003	1216
A0A066TZ16	A0A066TZ16_9PSEU	unreviewed	M protein	DV20_28250	Amycolatopsis rifamycinica	387
H6LHV2	H6LHV2_ACEWD	unreviewed	MukB N-terminal domain/M protein repeat protein	Awo_c17020	Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655 / WB1)	205
A0A1D8BSR7	A0A1D8BSR7_9PSEU	unreviewed	Type I restriction enzyme M protein (EC 2.1.1.72)	BKA25_004448	Actinoalloteichus hymeniacidonis	770
