P0C6X7	R1AB_SARS	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (Leader protein) (Non-structural protein 1) (nsp1); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like protease nsp3 (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (PL2-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase nsp5 (3CL-PRO) (3CLp) (EC 3.4.22.69) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase nsp12 (Pol) (RdRp) (EC 2.7.7.48) (Non-structural protein 12) (nsp12); Helicase nsp13 (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (Non-structural protein 13) (nsp13); Proofreading exoribonuclease nsp14 (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (Guanine-N7 methyltransferase) (Non-structural protein 14) (nsp14); Uridylate-specific endoribonuclease nsp15 (EC 4.6.1.-) (NendoU) (Non-structural protein 15) (nsp15); 2'-O-methyltransferase nsp16 (EC 2.1.1.57) (Non-structural protein 16) (nsp16)]	rep 1a-1b	Severe acute respiratory syndrome coronavirus (SARS-CoV)	7073
P0DTD1	R1AB_SARS2	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (Leader protein) (Non-structural protein 1) (nsp1); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like protease nsp3 (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase nsp5 (3CL-PRO) (3CLp) (EC 3.4.22.69) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase nsp12 (Pol) (RdRp) (EC 2.7.7.48) (Non-structural protein 12) (nsp12); Helicase nsp13 (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (Non-structural protein 13) (nsp13); Proofreading exoribonuclease nsp14 (ExoN) (EC 3.1.13.-) (Guanine-N7 methyltransferase) (Non-structural protein 14) (nsp14); Uridylate-specific endoribonuclease nsp15 (EC 4.6.1.-) (NendoU) (Non-structural protein 15) (nsp15); 2'-O-methyltransferase nsp16 (EC 2.1.1.57) (Non-structural protein 16) (nsp16)]	rep 1a-1b	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	7096
P0C6U8	R1A_SARS	reviewed	Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Host translation inhibitor nsp1 (Leader protein) (Non-structural protein 1) (nsp1); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like protease nsp3 (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (PL2-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase nsp5 (3CL-PRO) (3CLp) (EC 3.4.22.69) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	1a	Severe acute respiratory syndrome coronavirus (SARS-CoV)	4382
P0DTC1	R1A_SARS2	reviewed	Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Host translation inhibitor nsp1 (Leader protein) (Non-structural protein 1) (nsp1); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like protease nsp3 (EC 3.4.19.12) (EC 3.4.22.-) (Non-structural protein 3) (nsp3) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase nsp5 (3CL-PRO) (3CLp) (EC 3.4.22.69) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]		Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	4405
P0DTC2	SPIKE_SARS2	reviewed	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273
P49591	SYSC_HUMAN	reviewed	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	SARS1 SARS SERS	Homo sapiens (Human)	514
A0A6H1PK90	A0A6H1PK90_SARS2	unreviewed	ORF1ab polyprotein (Replicase polyprotein 1ab)	ORF1ab	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	7096
A0A6H1PRW5	A0A6H1PRW5_SARS2	unreviewed	ORF1ab polyprotein (Replicase polyprotein 1ab)	ORF1ab	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	7096
A0A679G4D8	A0A679G4D8_SARS2	unreviewed	ORF1ab polyprotein (Replicase polyprotein 1ab)	ORF1ab	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	7096
A0A7U3H586	A0A7U3H586_SARS2	unreviewed	ORF1ab polyprotein (Replicase polyprotein 1ab)	ORF1ab	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	7096
