P35128	UBE2N_DROME	reviewed	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme N) (Protein bendless) (Ubiquitin carrier protein N) (Ubiquitin-conjugating enzyme E2-17 kDa) (Ubiquitin-protein ligase D3) (Ubiquitin-protein ligase N)	ben UbcD3 CG18319	Drosophila melanogaster (Fruit fly)	151
O95427	PIGN_HUMAN	reviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	PIGN MCD4	Homo sapiens (Human)	931
P0C797	NCAP_BDVV	reviewed	Nucleoprotein (N protein) (Nucleocapsid protein) (p38) (p40)	N	Borna disease virus (strain V) (BDV)	370
Q9R1S3	PIGN_MOUSE	reviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	Pign	Mus musculus (Mouse)	931
P0C796	NCAP_BDV1	reviewed	Nucleoprotein (N protein) (Nucleocapsid protein) (p38) (p40)	N	Borna disease virus 1 (BoDV-1)	370
Q6WB93	L_HMPVC	reviewed	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)]	L	Human metapneumovirus (strain CAN97-83) (HMPV)	2005
P04545	M21_HRSVA	reviewed	Protein M2-1 (Envelope-associated 22 kDa protein) (Transcription antitermination factor M2-1) (Vp24)	M2-1	Human respiratory syncytial virus A (strain A2)	194
P03418	NCAP_HRSVA	reviewed	Nucleoprotein (Protein N) (Nucleocapsid protein)	N	Human respiratory syncytial virus A (strain A2)	391
P0AFF6	NUSA_ECOLI	reviewed	Transcription termination/antitermination protein NusA (N utilization substance protein A) (Transcription termination/antitermination L factor)	nusA b3169 JW3138	Escherichia coli (strain K12)	495
Q96P20	NLRP3_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	Homo sapiens (Human)	1036
Q8R4B8	NLRP3_MOUSE	reviewed	NACHT, LRR and PYD domains-containing protein 3 (Cold autoinflammatory syndrome 1 protein homolog) (Cryopyrin) (Mast cell maturation-associated-inducible protein 1) (PYRIN-containing APAF1-like protein 1)	Nlrp3 Cias1 Mmig1 Nalp3 Pypaf1	Mus musculus (Mouse)	1033
